Date,Actual_Return,Rolling_GARCH_VaR,Conditional_Vol,Forecasted_Vol
2023-01-03,-1.5355237579958299,-5.966740394572726,2.5648529438560326,2.564853030432015
2023-01-04,-0.28002943292956,-5.9547523038870604,2.5596997955100647,2.559699849852516
2023-01-05,-2.43798980086215,-5.9492723135215995,2.557344220168339,2.557344230374187
2023-01-06,2.6893894125901,-5.9437292035248905,2.5549614745083864,2.554961478396908
2023-01-09,1.98241943969358,-5.945190544185274,2.5555896462469314,2.555589647845119
2023-01-10,0.87340388097916,-5.939009992384129,2.552932885563865,2.5529328862016385
2023-01-11,2.13339837477452,-5.926896001474087,2.5477255862109773,2.547725586362599
2023-01-12,1.09021140874811,-5.922420843254996,2.5458019022682947,2.5458019023473977
2023-01-13,1.01471699096525,-5.914826805378071,2.5425375419421052,2.542537541947276
2023-01-17,1.28573214601179,-5.903636256397259,2.5377271913086425,2.537727191308971
2023-01-18,-1.2200437359785,-5.895851110832289,2.5343806816782095,2.5343806816782135
2023-01-19,-1.18244303825854,-5.88567469731826,2.5300062656127653,2.530006265612764
2023-01-20,3.8677360442547797,-5.876628335046343,2.5261176114811703,2.5261176114811685
2023-01-23,3.57512256352544,-5.895958401471743,2.534426801452748,2.5344268014527542
2023-01-24,-0.22185096922407999,-5.682946557647252,2.443602420911248,2.442861887107209
2023-01-25,-0.58102918839176,-5.66038783215048,2.433966398649056,2.4331648311559047
2023-01-26,2.0923432221375298,-5.5555596900514805,2.3894434442108077,2.3881035816030103
2023-01-27,1.24910505813303,-5.4767216143661885,2.3562454884954063,2.354214378459737
2023-01-30,-3.19733605944029,-5.606197432699417,2.410672160166178,2.409870636828495
2023-01-31,1.83399075781823,-5.875119781332639,2.52546914710893,2.525469147108949
2023-02-01,3.54114512160219,-5.613186652607909,2.4133298470262408,2.4128750111899064
2023-02-02,4.4322802098751595,-5.668453954571228,2.436647712784564,2.43663212102719
2023-02-03,-1.19993947110113,-5.9120522095600485,2.5413448588369882,2.5413448588369882
2023-02-06,-1.24204525310138,-5.697874262703619,2.4494451341830605,2.449278685395609
2023-02-07,3.51470561248194,-5.582207107233668,2.40006507002063,2.3995581957127654
2023-02-08,-1.88613340461823,-5.562332220886485,2.390996772496023,2.391014810362293
2023-02-09,-1.25598019152916,-5.550469804500233,2.3850602011469397,2.385915651926609
2023-02-10,-1.26408433607587,-5.531631044398349,2.377860351101434,2.377817654068205
2023-02-13,2.0366268659645503,-5.645203454196894,2.4270841386450464,2.426637699885889
2023-02-14,1.33435395781842,-5.544818794206664,2.3842160810455786,2.3834865181084783
2023-02-15,0.27842768697076,-5.619697863484065,2.415531590286821,2.4156739093894464
2023-02-16,-2.49276493796246,-5.491735008965487,2.360394014278809,2.3606680111115126
2023-02-17,-1.5732543168264699,-5.846084008583176,2.512987878476056,2.512987878476056
2023-02-21,-2.66756379975684,-5.5196683090169545,2.373440119044881,2.372675372677325
2023-02-22,0.005696802845672988,-5.438146852442143,2.3389372818895784,2.3376326959201257
2023-02-23,3.326769497551,-5.424022739243155,2.333172659467052,2.331561328281349
2023-02-24,-1.9141255402376,-5.834969617227781,2.5082102648270324,2.5082102648270324
2023-02-27,0.73643116242959,-5.539542317928845,2.381615063448479,2.3812183808549325
2023-02-28,-0.41259211119455,-5.419859170681478,2.3302935536437506,2.329771583674303
2023-03-01,-1.2016238166405502,-5.3549525367348245,2.303008722352681,2.301870926738627
2023-03-02,1.71203188034074,-5.3011796506560005,2.279503517071074,2.278756204009983
2023-03-03,2.3441804077878303,-5.214527151754167,2.242779202451905,2.241507905993694
2023-03-06,0.6246437214621899,-5.18153939336634,2.229345950300935,2.2273278434347237
2023-03-07,-1.0345255225704,-5.2758090174636125,2.2701635965695974,2.267850426127194
2023-03-08,1.42415990038672,-5.153629824730381,2.218429954164381,2.2153306830154267
2023-03-09,-1.6899831657641,-5.561517356825302,2.3935040736426156,2.3906645342620263
2023-03-10,-1.63033453779995,-5.530541278434292,2.378945381554075,2.377349209096489
2023-03-13,0.9531845833614,-5.497392258547751,2.3652330308969782,2.3630998269398296
2023-03-14,3.08057237052735,-5.437038925143613,2.343772605850262,2.3371564441475967
2023-03-15,1.27050087696316,-5.520743800849185,2.354419639783826,2.3731376817946463
2023-03-16,4.03417857162437,-5.486439251931014,2.3645558470901733,2.3583915858642106
2023-03-17,0.60258995720877,-5.636172997950417,2.3891606643664782,2.4227558830917433
2023-03-20,-0.23968693667361002,-5.598781932703737,2.4180633492440893,2.4066830224229165
2023-03-21,1.20102409469433,-5.540582987719538,2.3933250719125536,2.381665721427813
2023-03-22,-0.26731202255332,-5.486744421498006,2.3652917313017956,2.358522765543053
2023-03-23,1.79931273092323,-5.398254345456533,2.3307940452297204,2.3204845696958576
2023-03-24,-0.059929393099109995,-5.414312486545461,2.3274698975428074,2.3273872953234886
2023-03-27,-1.50148443209126,-5.30986986064868,2.294890917403444,2.2824917631194577
2023-03-28,-0.77927847013992,-5.089915722117742,2.183476369278404,2.187942645601242
2023-03-29,1.7332076879828602,-5.0142438754315775,2.1487516649444536,2.155414472351416
2023-03-30,1.00127853383264,-4.924259789953709,2.109282916927769,2.11673406411068
2023-03-31,1.52756730424243,-4.867730474586716,2.086003129343077,2.092434467305838
2023-04-03,0.25375552604336,-4.76018680747444,2.0384049219464266,2.046205926719828
2023-04-04,-0.5132909680080799,-4.70094026229721,2.0093382637572508,2.0207383060607045
2023-04-05,-1.3858510589247701,-4.642096035320844,1.986124779774792,1.9954436252294347
2023-04-06,1.45492835330153,-4.646859322697285,1.9916216603069132,1.9974911639615367
