Date,AAPL,MSFT,NVDA,GOOG,AMD
2022-01-04,-0.012772782032920978,-0.01729602349516437,-0.027976234045580774,-0.004545748467232811,-0.03950834367818823
2022-01-05,-0.026960014411709563,-0.03914395253183581,-0.05928562033135294,-0.04796176555627691,-0.058968534053937004
2022-01-06,-0.016834139458977767,-0.007933335284672528,0.020580827436759912,-0.0007449247325194847,0.0005874281254335956
2022-01-07,0.0009879555426054482,0.0005096269421160096,-0.03359799907519133,-0.003981097504018001,-0.03154267982948299
2022-01-10,0.00011599561437398314,0.0007319897450710398,0.005599419629909139,0.011390745809811323,0.0
2022-01-11,0.016644624166307673,0.002256747137193719,0.015104293702519317,0.010362799608030828,0.039439202967038435
2022-01-12,0.0025669330295332925,0.010390840504634746,0.006521571637111033,0.011577674275097715,0.0011645948096974897
2022-01-13,-0.019211557195841052,-0.043244303451896816,-0.052198000497462496,-0.01792895665068894,-0.03501335126244453
2022-01-14,0.005097823494740971,0.017561521000617336,0.013715528185943788,0.004700227326899606,0.03071229615548802
2022-01-18,-0.019074993803925036,-0.02464028366912289,-0.03932759289025747,-0.02532766283064603,-0.036833241876412584
2022-01-19,-0.021249147240717005,0.0022443083800904374,-0.03280665054203203,-0.004695930433605211,-0.02813397275963759
2022-01-20,-0.01040083761264062,-0.005719690022946533,-0.037267761665369374,-0.015942524728141807,-0.05101845695975154
2022-01-21,-0.012847273454458574,-0.018640722579063917,-0.032659882271691566,-0.02590842135061443,-0.025593435738980687
2022-01-24,-0.004876228879134567,0.001147771207060297,-8.568269903126055e-05,0.002150203712762553,-0.01937681781163679
2022-01-25,-0.011449973209136084,-0.02694821108740166,-0.045876469250001814,-0.02828968153856155,-0.04744807762721297
2022-01-26,-0.0005634281822269327,0.028094879024143746,0.019869465326508736,0.019568982636920713,-0.003786500880742011
2022-01-27,-0.0029472440987528513,0.010493975647556948,-0.037037842210429224,-0.0009212180852008,-0.07607624373722109
2022-01-28,0.06745064409031745,0.027694322438579458,0.04001937868971122,0.031773498532005416,0.025405518008881734
2022-01-31,0.025790207570119548,0.008784850138305149,0.0695881804111304,0.017911923684204776,0.08214559390087749
2022-02-01,-0.0009730168528131751,-0.007164144421454625,0.0061885860123861896,0.015937190113482803,0.021902782628062088
2022-02-02,0.0070194824854718126,0.015107376981641354,0.02421935669303252,0.0710861216337052,0.049939434750840915
2022-02-03,-0.01686109631608337,-0.03973103775662676,-0.05262463359035024,-0.03706109187596829,-0.022073044579387403
2022-02-04,-0.001680849461233953,0.015448207445285347,0.015373078004898762,0.0025587569646710272,0.02889233010446198
2022-02-07,-0.004243484531092219,-0.01644479228188573,0.016678335175648134,-0.02892868658949612,0.00056618026970084
2022-02-08,0.018298221434666143,0.011923893724373802,0.01525029044878451,0.001977575026121654,0.03620878020429996
2022-02-09,0.008259628643970179,0.021599888940406656,0.06166431682027552,0.01596216566297306,0.035395224996439205
2022-02-10,-0.023881697871349715,-0.028783335770696986,-0.03354656724492482,-0.02035741981095846,-0.05476590278071969
2022-02-11,-0.02042592504238925,-0.02457353626192239,-0.0753776413602103,-0.032800582106436535,-0.1054753409572586
2022-02-14,0.0014224979694180654,-0.00013566631666180845,0.013190871221285056,0.00868506017385491,0.009584565370660275
2022-02-15,0.022888437211422114,0.01837240316755091,0.08783846831785781,0.008284093860321697,0.061103288980186396
2022-02-16,-0.0013899259251409697,-0.0011678313659368262,0.0006037156925525987,0.007754305574850233,-0.03161325912764793
2022-02-17,-0.021498511286281104,-0.029719047198009583,-0.07860078395503767,-0.038396450718232604,-0.04625704727183443
