Date,AAPL,MSFT,NVDA,GOOG,AMD
2022-01-03,178.27029418945312,323.8984375,30.064437866210938,144.0884552001953,150.24000549316406
2022-01-04,176.0077667236328,318.3444519042969,29.235004425048828,143.43495178222656,144.4199981689453
2022-01-05,171.32598876953125,306.1239318847656,27.552165985107422,136.71792602539062,136.14999389648438
2022-01-06,168.46600341796875,303.7049560546875,28.12508773803711,136.61611938476562,136.22999572753906
2022-01-07,168.6325225830078,303.8597717285156,27.195838928222656,136.0733184814453,132.0
2022-01-10,168.65208435058594,304.082275390625,27.348546981811523,137.6321563720703,132.0
2022-01-11,171.48272705078125,304.769287109375,27.76476287841797,139.06582641601562,137.30999755859375
2022-01-12,171.92347717285156,307.9526062011719,27.94642448425293,140.68524169921875,137.47000122070312
2022-01-13,168.65208435058594,294.91925048828125,26.525094985961914,138.1853790283203,132.74000549316406
2022-01-14,169.5140380859375,300.14422607421875,26.891407012939453,138.83641052246094,136.8800048828125
2022-01-18,166.3112030029297,292.8389587402344,25.854358673095703,135.36416625976562,131.92999267578125
2022-01-19,162.81451416015625,293.4969177246094,25.019926071166992,134.72999572753906,128.27000427246094
2022-01-20,161.1298828125,291.822998046875,24.104650497436523,132.59909057617188,121.88999938964844
2022-01-21,159.0730438232422,286.43359375,23.33011245727539,129.20777893066406,118.80999755859375
2022-01-24,158.29925537109375,286.7625427246094,23.328113555908203,129.48590087890625,116.52999877929688
2022-01-25,156.4970703125,279.13800048828125,22.282079696655273,125.87411499023438,111.12999725341797
2022-01-26,156.40892028808594,287.091552734375,22.72924041748047,128.36160278320312,110.70999908447266
2022-01-27,155.94862365722656,290.1201477050781,21.90279769897461,128.243408203125,102.5999984741211
2022-01-28,166.830322265625,298.2671203613281,22.797109603881836,132.38357543945312,105.23999786376953
2022-01-31,171.18887329101562,300.8988952636719,24.440019607543945,134.77618408203125,114.25
2022-02-01,171.0223846435547,298.75091552734375,24.591737747192383,136.94134521484375,116.77999877929688
2022-02-02,172.2270965576172,303.29852294921875,25.194604873657227,147.0303192138672,122.76000213623047
2022-02-03,169.34750366210938,291.4844055175781,23.903030395507812,141.6809539794922,120.08000183105469
2022-02-04,169.06309509277344,296.02227783203125,24.273332595825195,142.0439453125,123.5999984741211
2022-02-07,168.34719848632812,291.1940612792969,24.68156623840332,137.99366760253906,123.66999816894531
2022-02-08,171.4560089111328,294.68701171875,25.06085205078125,138.26683044433594,128.22999572753906
2022-02-09,172.87803649902344,301.1214599609375,26.65485382080078,140.4915771484375,132.85000610351562
2022-02-10,168.79832458496094,292.5777282714844,25.7755069732666,137.6604461669922,125.7699966430664
2022-02-11,165.38543701171875,285.4756774902344,23.904029846191406,133.21835327148438,113.18000030517578
2022-02-14,165.62086486816406,285.43695068359375,24.221433639526367,134.38040161132812,114.2699966430664
2022-02-15,169.45538330078125,290.7295837402344,26.44524574279785,135.4982452392578,121.47000122070312
2022-02-16,169.2200164794922,290.3902587890625,26.46121597290039,136.5530242919922,117.69000244140625
2022-02-17,165.62086486816406,281.8871154785156,24.460983276367188,131.4092559814453,112.37000274658203
2022-02-18,164.0713348388672,279.1721496582031,23.597610473632812,129.5807342529297,113.83000183105469
2022-02-22,161.1488494873047,278.96856689453125,23.34607696533203,128.5229949951172,115.6500015258789
2022-02-23,156.9808349609375,271.7452087402344,22.344961166381836,126.71782684326172,109.76000213623047
2022-02-24,159.59933471679688,285.629638671875,23.703405380249023,131.77175903320312,116.61000061035156
2022-02-25,161.66860961914062,288.2669677734375,24.11164093017578,133.6051788330078,121.05999755859375
2022-02-28,161.93338012695312,289.701904296875,24.33920669555664,133.9741973876953,123.33999633789062
2022-03-01,160.0504608154297,285.97869873046875,23.43291664123535,133.256103515625,113.83000183105469
2022-03-02,163.34559631347656,291.059326171875,24.178638458251953,133.83563232421875,118.27999877929688
2022-03-03,163.02195739746094,286.9192199707031,23.673498153686523,133.3951416015625,111.9800033569336
