Date,portfolio_return
2022-01-04,-0.018383783930687285
2022-01-05,-0.04282223476157764
2022-01-06,-0.0029704060688440425
2022-01-07,-0.01004723902527863
2022-01-10,0.0030462919180334813
2022-01-11,0.014076773012603062
2022-01-12,0.006525214984675287
2022-01-13,-0.033204821745066816
2022-01-14,0.012439096650349125
2022-01-18,-0.02723056124874789
2022-01-19,-0.01589278402660344
2022-01-20,-0.01949695052779912
2022-01-21,-0.0214919459119321
2022-01-24,-0.002808213626030844
2022-01-25,-0.028335598578097133
2022-01-26,0.013385281674133508
2022-01-27,-0.013414054846324693
2022-01-28,0.042469226155371326
2022-01-31,0.034752258830556694
2022-02-01,0.0037356328210982584
2022-02-02,0.026383422049798256
2022-02-03,-0.03328248329138573
2022-02-04,0.009705459179077756
2022-02-07,-0.006331261356123805
2022-02-08,0.01543801222559844
2022-02-09,0.0261445715414377
2022-02-10,-0.029599860002779862
2022-02-11,-0.042814311261930776
2022-02-14,0.005292222619061243
2022-02-15,0.03638026859595282
2022-02-16,-0.002586372557053236
2022-02-17,-0.03998464431131259
2022-02-18,-0.013237225872534605
2022-02-22,-0.007360739007759847
2022-02-23,-0.03053458050123111
2022-02-24,0.04114435745399453
2022-02-25,0.015395368890404323
2022-02-28,0.005890608809505471
2022-03-01,-0.023161917455023065
2022-03-02,0.021267507994850384
2022-03-03,-0.014367195051795269
2022-03-04,-0.023119637270954483
2022-03-07,-0.04287315347794801
2022-03-08,-0.001332152875120696
2022-03-09,0.047676750878087544
2022-03-10,-0.019474855692620197
2022-03-11,-0.021701224887937107
2022-03-14,-0.024761999782163705
2022-03-15,0.043228621781972114
2022-03-16,0.03761251118963419
2022-03-17,0.0026020455242305083
2022-03-18,0.0277692281179129
2022-03-21,0.005395122031712543
2022-03-22,0.011790659694928873
2022-03-23,-0.010813270846189063
2022-03-24,0.03792327309611792
2022-03-25,-0.0030020302579186176
2022-03-28,0.011919497857262151
2022-03-29,0.01634478828069938
2022-03-30,-0.014035027499799551
2022-03-31,-0.024614297742757314
2022-04-01,-0.00380283550803618
2022-04-04,0.021507870027610617
2022-04-05,-0.025865594249421184
2022-04-06,-0.034208513263748894
2022-04-07,-0.000271819966813097
2022-04-08,-0.021856577182175894
2022-04-11,-0.03694288506828116
2022-04-12,-0.007199012506110021
2022-04-13,0.021096016502732993
2022-04-14,-0.03313726683110827
2022-04-18,0.0068156445437607596
2022-04-19,0.01837283234774893
2022-04-20,-0.01163288249957272
2022-04-21,-0.02728097545017059
2022-04-22,-0.029759296600685686
2022-04-25,0.019315520524836167
2022-04-26,-0.043382173242489316
2022-04-27,0.0012634932493082488
2022-04-28,0.04420685377584487
2022-04-29,-0.04515351189908103
2022-05-02,0.024891740050582298
2022-05-03,0.003868552403164623
2022-05-04,0.040808596195926444
2022-05-05,-0.05660328033094025
2022-05-06,-0.0026085644297451503
2022-05-09,-0.0521916418327822
2022-05-10,0.02155532433805015
2022-05-11,-0.0374304777639028
2022-05-12,-0.020806479336329932
2022-05-13,0.04633499881495441
2022-05-16,-0.011075617825878488
2022-05-17,0.033719712287183984
2022-05-18,-0.05505402499428333
2022-05-19,-0.008048858069816586
2022-05-20,-0.010423133056692662
2022-05-23,0.026972621077081888
2022-05-24,-0.027932421889880814
2022-05-25,0.014532352787008006
2022-05-26,0.029960175153415737
2022-05-27,0.0388720320465469
2022-05-31,-0.0031001944914682686
2022-06-01,-0.0040646253448939525
2022-06-02,0.032099330099839264
2022-06-03,-0.03132882387960605
2022-06-06,0.0036456134927766153
2022-06-07,0.010108759592739474
2022-06-08,-0.009611138735827059
2022-06-09,-0.028864339525336243
2022-06-10,-0.044223999349994964
2022-06-13,-0.0537001686927623
2022-06-14,0.0071321621896163565
2022-06-15,0.028869382131661007
2022-06-16,-0.04416265628988386
2022-06-17,0.010838400355161433
2022-06-21,0.03254978751082576
2022-06-22,-0.004277112335271173
2022-06-23,0.009621940363533697
2022-06-24,0.039554229148996464
2022-06-27,-0.00916794945815147
2022-06-28,-0.03969225069185111
2022-06-29,-0.001979134797438965
2022-06-30,-0.019636869885335716
2022-07-01,-0.0052295666296844
2022-07-05,0.023261330215686216
2022-07-06,0.01018666998754281
2022-07-07,0.028907034099420477
2022-07-08,0.0016119683287130007
2022-07-11,-0.02396869634640628
2022-07-12,-0.012283171354510817
2022-07-13,-0.0026260377263374476
2022-07-14,0.010530478029342769
2022-07-15,0.015929661756456784
2022-07-18,-0.007874389464393042
2022-07-19,0.035436932919357775
2022-07-20,0.02017632109195234
2022-07-21,0.0119262499674461
2022-07-22,-0.027287335221133364
2022-07-25,-0.007982647087202047
2022-07-26,-0.021837985209140338
2022-07-27,0.0573353412055231
2022-07-28,0.013614157362699275
2022-07-29,0.021215490975380644
2022-08-01,-0.0003402595408284379
2022-08-02,-0.0016596633275467007
2022-08-03,0.02451340037501403
2022-08-04,0.009721278656757166
2022-08-05,-0.005810600390679498
2022-08-08,-0.018497612188609056
2022-08-09,-0.011705883777204815
2022-08-10,0.03283332341628236
2022-08-11,-0.006888785488246265
2022-08-12,0.025181448894134695
2022-08-15,0.007109355149370052
2022-08-16,-0.003797419315647196
2022-08-17,-0.008534149086027659
2022-08-18,0.00590025432691099
2022-08-19,-0.02616037197666616
2022-08-22,-0.031004415299670966
2022-08-23,-0.0008420815187777288
2022-08-24,0.0005935063479128859
2022-08-25,0.023630213054666227
2022-08-26,-0.05548938469672575
2022-08-29,-0.016837790195364723
2022-08-30,-0.01337927524217052
2022-08-31,-0.012983488718787252
2022-09-01,-0.016693180222503864
2022-09-02,-0.01764910743751309
2022-09-06,-0.011496484779356393
2022-09-07,0.01647405824066375
2022-09-08,0.003960501617044647
2022-09-09,0.02325034847295066
